Champ longitudinal: Fichier, Bl, erreur, Paramètres de Stokes V: min(x,y), min(x,y)
946932 	-72 	2 	0.00098 	-26.44 	-0.00140 	-33.90
1647592 	-160 	2 	0.00325 	23.24 	-0.00344 	10.35
861103 	393 	64 	0.00327 	-25.45 	-0.00364 	-5.61
1655427 	1036 	430 	0.00515 	0.33 	-0.00539 	37.86
965914 	-196 	22 	0.00719 	25.29 	-0.00809 	-5.45
1634805 	-35 	5 	0.00232 	49.10 	-0.00223 	-9.75
1005089 	-278 	8 	0.01092 	-29.90 	-0.01078 	-39.16
1059464 	-109 	14 	0.00373 	10.69 	-0.00423 	-2.36
1648192 	172 	25 	0.00304 	-12.02 	-0.00210 	12.39
1096595 	83 	6 	0.00152 	-7.18 	-0.00106 	48.79
1075892 	-452 	106 	0.01021 	2.78 	-0.00098 	31.01
1648224 	-143 	3 	0.00279 	3.95 	-0.00395 	-12.71
1772770 	5 	0 	0.00200 	5.36 	-0.00136 	12.37
1634392 	92 	1 	0.00359 	-43.62 	-0.00172 	-50.71
897842 	-1960 	406 	0.01189 	86.15 	-0.01246 	55.85
897747 	107 	11 	0.00309 	-0.07 	-0.00229 	36.61
861269 	291 	50 	0.00201 	-13.13 	-0.00187 	27.52
803374 	-95 	1 	0.00453 	-49.81 	-0.00410 	-57.56
1050235 	-189 	24 	0.00196 	15.44 	-0.00204 	0.34
1523645 	0 	0 	0.00004 	31.12 	-0.00005 	17.30
1774121 	10 	0 	0.00058 	-1.85 	-0.00044 	4.94
1701275 	-90 	6 	0.00305 	4.48 	-0.00260 	-3.90
979303 	259 	4 	0.00918 	8.03 	-0.00853 	17.95
861421 	-266 	5 	0.00494 	5.64 	-0.00456 	-7.15
861606 	323 	12 	0.00371 	-10.83 	-0.00373 	12.98
808629 	330 	57 	0.00224 	-36.48 	-0.00168 	18.47
808345 	95 	17 	0.00447 	-37.67 	-0.00336 	-57.58
978911 	394 	84 	0.00300 	-46.79 	-0.00302 	6.92
851976 	-215 	2 	0.00638 	17.66 	-0.00650 	8.43
1626892 	-529 	391 	0.00105 	23.39 	-0.00115 	-79.34
1307820 	-1 	0 	0.00010 	-28.80 	-0.00009 	-6.57
1740432 	-27 	0 	0.00116 	31.50 	-0.00069 	34.95
1702253 	-103 	1 	0.00165 	-34.16 	-0.00175 	-43.34
808985 	593 	110 	0.00556 	-12.88 	-0.00413 	16.01
1020634 	-1072 	445 	0.00703 	14.49 	-0.00535 	-10.13
1648188 	289 	20 	0.00400 	-26.76 	-0.00466 	3.19
808917 	358 	62 	0.00426 	-34.85 	-0.00326 	60.30
1845182 	-56 	1 	0.00040 	108.21 	-0.00021 	115.47
1050429 	93 	9 	0.00231 	9.14 	-0.00230 	21.26
861119 	-1248 	156 	0.00792 	6.86 	-0.00778 	-25.15
1685238 	-2 	0 	0.00007 	26.41 	-0.00005 	33.16
946924 	-727 	59 	0.00697 	2.04 	-0.00528 	-28.39
1115128 	540 	87 	0.00377 	-25.25 	-0.00389 	10.83
966010 	-352 	13 	0.00626 	31.58 	-0.00685 	21.47
808633 	251 	46 	0.00223 	-39.58 	-0.00194 	-15.90
978661 	402 	75 	0.00295 	-23.21 	-0.00286 	3.94
851522 	-2177 	455 	0.01545 	83.27 	-0.01196 	55.89
1699646 	-99 	1 	0.00304 	-7.34 	-0.00360 	-17.03
1739933 	-164 	1 	0.00285 	44.84 	-0.00318 	33.08
946791 	7 	1 	0.00190 	12.50 	-0.00106 	24.85
851694 	-1475 	305 	0.01000 	80.44 	-0.01070 	57.40
808585 	483 	86 	0.00560 	-9.40 	-0.00353 	16.83
861557 	565 	96 	0.00285 	-30.10 	-0.00269 	14.45
1523114 	1 	0 	0.00005 	23.58 	-0.00004 	34.09
861875 	237 	5 	0.00424 	-8.65 	-0.00338 	4.16
861273 	381 	65 	0.00217 	-34.54 	-0.00220 	7.39
1685451 	-554 	9 	0.01241 	6.82 	-0.01236 	-3.52
921734 	-110 	2 	0.00237 	6.88 	-0.00248 	-4.60
861879 	-512 	40 	0.00460 	14.00 	-0.00515 	-28.71
1515818 	2 	1 	0.00115 	-3.57 	-0.00094 	36.88
1523956 	317 	8 	0.00790 	7.08 	-0.00577 	17.55
1653544 	10 	2 	0.00189 	-21.14 	-0.00131 	-91.21
860696 	18 	0 	0.00137 	-5.65 	-0.00019 	14.71
1656062 	1322 	467 	0.00533 	0.03 	-0.00551 	32.46
1632128 	61 	7 	0.00322 	-39.75 	-0.00245 	-21.66
1738742 	-105 	1 	0.00301 	39.24 	-0.00285 	29.11
1684293 	59 	3 	0.00234 	-10.54 	-0.00229 	0.38
1036909 	-1127 	121 	0.00899 	6.74 	-0.00993 	-26.87
1610516 	12 	0 	0.00110 	12.48 	-0.00069 	19.97
1076099 	326 	42 	0.00454 	-11.56 	-0.00540 	37.46
851698 	33 	0 	0.00136 	-23.43 	-0.00111 	-12.53
808589 	352 	61 	0.00563 	-3.99 	-0.00409 	19.90
1626884 	-115 	85 	0.00176 	30.65 	-0.00199 	-26.57
898519 	5 	2 	0.00209 	-29.02 	-0.00220 	7.08
808353 	371 	65 	0.00516 	-20.01 	-0.00342 	-1.95
1610937 	93 	6 	0.00246 	-39.01 	-0.00215 	-21.87
978907 	302 	59 	0.00330 	-27.07 	-0.00277 	14.17
1655431 	703 	292 	0.00285 	12.46 	-0.00368 	41.45
1770392 	-106 	1 	0.00290 	34.46 	-0.00331 	25.18
861115 	162 	6 	0.00354 	-0.82 	-0.00301 	9.99
1685234 	-461 	7 	0.01265 	7.08 	-0.01175 	-2.74
946928 	90 	7 	0.00223 	-3.80 	-0.00319 	6.08
1632341 	-22 	0 	0.00129 	-2.08 	-0.00082 	-9.60
833583 	14 	0 	0.00167 	-4.11 	-0.00137 	6.28
1656308 	-230 	45 	0.00176 	-29.93 	-0.00180 	-53.71
1115124 	352 	58 	0.00229 	-31.92 	-0.00279 	14.78
1115600 	237 	44 	0.00191 	-28.43 	-0.00303 	-0.45
1096583 	105 	8 	0.00240 	-50.00 	-0.00172 	30.76
976734 	333 	3 	0.01052 	7.84 	-0.00923 	17.30
1627002 	3258 	47966 	0.01588 	64.96 	-0.00325 	23.05
1754803 	22 	0 	0.00089 	-28.26 	-0.00049 	-22.95
1020638 	-958 	405 	0.00512 	21.82 	-0.00455 	-55.66
808989 	-231 	5 	0.00393 	3.14 	-0.00436 	-8.15
861079 	207 	35 	0.00327 	-11.41 	-0.00312 	27.29
1648184 	68 	10 	0.00195 	-17.61 	-0.00207 	-0.41
1649590 	-99 	1 	0.00206 	1.61 	-0.00238 	-13.87
1754794 	49 	0 	0.00096 	-36.19 	-0.00094 	-19.27
1050907 	-1740 	327 	0.00956 	90.08 	-0.01333 	50.51
1772766 	21 	0 	0.00064 	-31.23 	-0.00068 	-41.60
979113 	281 	3 	0.00912 	8.04 	-0.00834 	16.80
1771762 	-35 	0 	0.00163 	50.20 	-0.00117 	42.41
833567 	20 	0 	0.00185 	-15.86 	-0.00099 	-7.24
1514584 	-37 	2 	0.00062 	-54.93 	-0.00047 	-99.11
1515401 	168 	8 	0.00070 	144.42 	-0.00077 	134.58
1739425 	-109 	2 	0.00318 	21.43 	-0.00120 	-10.98
1770376 	-8 	0 	0.00037 	19.73 	-0.00035 	25.42
1115152 	469 	79 	0.00301 	-5.24 	-0.00285 	21.11
1004092 	-226 	7 	0.01420 	-28.88 	-0.01249 	-39.68
976742 	298 	6 	0.00961 	8.03 	-0.00805 	16.53
1049999 	-22 	130 	0.01498 	42.04 	-0.01631 	18.11
1515626 	-1443 	61 	0.00588 	57.54 	-0.00356 	66.88
1095187 	-1965 	437 	0.00989 	23.33 	-0.00270 	14.33
1059168 	72 	196 	0.00769 	-5.70 	-0.00997 	0.32
1737882 	-62 	0 	0.00311 	-51.67 	-0.00306 	-59.97
1700495 	-173 	2 	0.00395 	9.51 	-0.00391 	1.31
1739393 	-1 	0 	0.00065 	25.19 	-0.00058 	22.52
1096567 	92 	7 	0.00210 	-50.20 	-0.00157 	-80.28
977655 	-654 	62 	0.00623 	26.06 	-0.00691 	12.79
1059907 	-66 	6 	0.00305 	14.94 	-0.00177 	-2.50
1701287 	-116 	8 	0.00295 	3.73 	-0.00259 	-5.27
946687 	-1365 	145 	0.00788 	7.85 	-0.00770 	-23.16
1916030 	-4 	0 	0.00112 	17.58 	-0.00072 	33.43
1036432 	-366 	29 	0.00383 	-5.09 	-0.00470 	-26.65
1649818 	49 	0 	0.00244 	-9.86 	-0.00144 	-18.45
803386 	159 	3 	0.00396 	-7.36 	-0.00487 	1.68
1005559 	-410 	13 	0.01087 	-29.13 	-0.01038 	-37.63
1050255 	22 	2 	0.00226 	-2.15 	-0.00166 	10.95
808649 	417 	70 	0.00328 	-25.15 	-0.00427 	7.25
1115638 	233 	44 	0.00203 	-16.11 	-0.00210 	-3.57
803278 	17 	0 	0.00506 	-5.91 	-0.00244 	4.79
1633390 	79 	1 	0.00220 	-46.76 	-0.00222 	-43.16
808645 	478 	81 	0.00327 	-28.46 	-0.00349 	-1.73
1168523 	340 	10 	0.00923 	8.03 	-0.00837 	17.35
1738738 	151 	2 	0.00611 	-6.32 	-0.00561 	0.36
1115634 	311 	52 	0.00208 	-23.58 	-0.00193 	21.72
1737473 	-90 	1 	0.00185 	7.19 	-0.00205 	-23.36
1115358 	499 	88 	0.00309 	-14.59 	-0.00248 	10.59
860780 	-3 	0 	0.00016 	14.71 	-0.00028 	-8.92
1514270 	-67 	2 	0.00080 	39.71 	-0.00078 	15.58
1683851 	1 	1 	0.00164 	40.79 	-0.00171 	12.52
1168668 	340 	10 	0.00985 	7.86 	-0.00880 	17.56
1513959 	-170 	7 	0.00111 	82.57 	-0.00065 	68.56
1050411 	-122 	15 	0.00244 	16.27 	-0.00265 	6.02
1647903 	-244 	2 	0.00532 	-44.73 	-0.00575 	-54.29
1649814 	420 	7 	0.00642 	-42.62 	-0.00401 	-32.12
1648669 	-256 	2 	0.00564 	-49.41 	-0.00613 	-58.94
861891 	-140 	1 	0.00441 	19.61 	-0.00378 	27.24
921721 	-3 	0 	0.00027 	16.31 	-0.00030 	10.80
1523629 	-2 	0 	0.00009 	32.41 	-0.00003 	35.74
1740444 	-57 	0 	0.00143 	-50.55 	-0.00171 	-60.14
1702225 	-117 	1 	0.00181 	-35.01 	-0.00188 	-46.88
1020642 	-755 	315 	0.00627 	26.93 	-0.00323 	-1.23
808961 	393 	68 	0.00638 	-9.75 	-0.00414 	11.50
1059164 	-84 	9 	0.00366 	28.96 	-0.00442 	-2.02
861091 	243 	8 	0.00385 	-7.20 	-0.00351 	11.25
838283 	64 	3 	0.00262 	-21.76 	-0.00250 	-14.08
1682864 	-495 	9 	0.00881 	12.15 	-0.00942 	-4.14
1669993 	37 	1 	0.00123 	-3.25 	-0.00090 	3.43
978411 	421 	74 	0.00297 	-31.15 	-0.00210 	10.45
1096407 	-76 	6 	0.00253 	26.90 	-0.00161 	-99.80
1739429 	-48 	1 	0.00324 	26.99 	-0.00118 	-7.16
1704156 	-164 	2 	0.00365 	9.05 	-0.00368 	1.23
978899 	341 	70 	0.00297 	-29.10 	-0.00286 	60.26
1513943 	-85 	4 	0.00060 	127.04 	-0.00042 	100.96
1610488 	6 	0 	0.00101 	11.75 	-0.00083 	19.81
921851 	81 	1 	0.00078 	-66.58 	-0.00063 	-76.11
1036424 	-329 	25 	0.00359 	14.18 	-0.00295 	-25.85
1683321 	-346 	5 	0.00838 	6.24 	-0.00807 	-2.56
1740258 	-139 	1 	0.00224 	3.22 	-0.00266 	-18.07
1115342 	464 	74 	0.00345 	-26.59 	-0.00228 	-7.32
1845513 	-23 	0 	0.00148 	7.03 	-0.00126 	-2.03
833571 	-47 	2 	0.00139 	16.06 	-0.00125 	31.91
977464 	240 	3 	0.00786 	8.14 	-0.00717 	17.16
1515417 	-275 	10 	0.00199 	71.40 	-0.00180 	62.71
1647075 	-84 	1 	0.00278 	-7.32 	-0.00235 	-19.95
1632321 	75 	8 	0.00418 	-0.10 	-0.00439 	-3.16
837264 	8 	0 	0.00160 	-14.46 	-0.00058 	-7.24
1020658 	-670 	232 	0.00431 	19.77 	-0.00527 	-16.91
946169 	-16 	0 	0.00105 	5.19 	-0.00034 	15.54
1634052 	-23 	0 	0.00160 	-1.52 	-0.00139 	-21.47
1096571 	34 	4 	0.00167 	-12.74 	-0.00149 	18.04
1739385 	-67 	0 	0.00097 	34.33 	-0.00026 	41.78
1219453 	-488 	200 	0.00546 	15.84 	-0.00379 	-21.23
1514822 	52 	2 	0.00034 	140.90 	-0.00061 	118.55
1737894 	-117 	1 	0.00310 	-49.18 	-0.00334 	-58.37
946165 	-7 	0 	0.00105 	12.53 	-0.00043 	15.82
1020654 	-344 	114 	0.00386 	-36.77 	-0.00616 	-21.61
1771317 	-14 	0 	0.00080 	20.77 	-0.00071 	12.60
1740452 	-5 	0 	0.00101 	15.23 	-0.00107 	8.71
1004088 	-378 	11 	0.01262 	-21.63 	-0.01257 	-41.16
1739677 	-106 	1 	0.00322 	5.20 	-0.00275 	-4.13
1739389 	-36 	0 	0.00086 	25.17 	-0.00059 	22.69
1513802 	53 	2 	0.00079 	66.58 	-0.00128 	60.68
808977 	525 	90 	0.00351 	-22.05 	-0.00252 	19.53
861087 	-227 	15 	0.00458 	12.48 	-0.00507 	-0.41
978407 	361 	67 	0.00304 	-24.10 	-0.00412 	3.79
1037571 	-1172 	117 	0.00781 	3.45 	-0.00910 	-25.02
1889345 	50 	0 	0.00108 	-28.37 	-0.00057 	-34.21
1704140 	-167 	2 	0.00366 	9.05 	-0.00366 	1.44
1115148 	531 	91 	0.00479 	-14.48 	-0.00319 	-3.47
1755711 	6 	0 	0.00098 	-7.56 	-0.00069 	-4.95
1647079 	-76 	1 	0.00259 	-5.68 	-0.00262 	-19.42
1890074 	15 	0 	0.00182 	-3.81 	-0.00106 	1.42
1096411 	-99 	7 	0.00186 	38.59 	-0.00182 	63.11
837268 	-5 	0 	0.00131 	-1.54 	-0.00126 	-18.55
808577 	453 	84 	0.00468 	-21.32 	-0.00406 	1.69
808653 	357 	62 	0.00348 	-25.06 	-0.00415 	5.09
1683847 	-694 	12 	0.01286 	8.62 	-0.01305 	-3.40
1633053 	-160 	20 	0.00237 	-7.71 	-0.00243 	-25.85
1740254 	-138 	1 	0.00256 	1.53 	-0.00275 	-16.61
1514798 	64 	3 	0.00061 	101.02 	-0.00070 	118.94
1700718 	-158 	2 	0.00344 	8.83 	-0.00347 	0.73
897838 	2 	1 	0.00201 	17.75 	-0.00262 	28.94
1020288 	14 	1 	0.00275 	7.30 	-0.00189 	16.69
978895 	363 	73 	0.00203 	-47.30 	-0.00215 	11.02
946965 	-1 	0 	0.00098 	-21.44 	-0.00104 	-34.66
861887 	379 	14 	0.00372 	-7.89 	-0.00493 	10.44
977895 	-23 	2 	0.00256 	14.29 	-0.00153 	-8.46
861281 	-656 	56 	0.00584 	5.00 	-0.00519 	-32.83
1610699 	192 	13 	0.00456 	-30.76 	-0.00301 	-15.06
808305 	428 	73 	0.00222 	-39.75 	-0.00244 	-10.60
1733102 	53 	0 	0.00358 	-18.26 	-0.00323 	-11.05
1845007 	-1 	0 	0.00100 	2.01 	-0.00060 	-7.14
1648940 	-99 	1 	0.00207 	0.91 	-0.00277 	-9.08
1683317 	-155 	7 	0.00240 	14.57 	-0.00242 	-6.25
1096242 	-649 	145 	0.01019 	7.18 	-0.00498 	70.89
1036412 	-1178 	140 	0.00640 	7.86 	-0.00612 	-27.03
1610299 	10 	0 	0.00056 	10.95 	-0.00068 	22.03
851835 	-1174 	250 	0.00708 	86.27 	-0.00641 	53.83
1096547 	-13 	3 	0.00172 	26.68 	-0.00158 	48.62
1005782 	-326 	9 	0.01104 	-29.22 	-0.01079 	-36.64
1515991 	97 	4 	0.00153 	-24.49 	-0.00180 	-11.14
1514814 	21 	1 	0.00033 	19.95 	-0.00032 	63.00
1739321 	-78 	1 	0.00176 	-50.69 	-0.00231 	-62.72
1834743 	29 	0 	0.00117 	-33.63 	-0.00073 	-23.03
1683511 	-151 	7 	0.00305 	18.00 	-0.00307 	-3.54
1219098 	-419 	167 	0.00564 	17.24 	-0.00536 	-7.04
946033 	1 	0 	0.00089 	-35.96 	-0.00070 	-16.21
1703780 	-75 	1 	0.00188 	5.99 	-0.00141 	-3.43
1219924 	-1626 	857 	0.00579 	23.09 	-0.00708 	55.79
1096427 	19 	3 	0.00165 	-59.62 	-0.00164 	93.18
1699837 	-158 	5 	0.00376 	-0.25 	-0.00303 	-8.10
979149 	192 	36 	0.00287 	-31.64 	-0.00234 	15.50
861993 	274 	44 	0.00272 	-12.59 	-0.00214 	30.56
808941 	197 	37 	0.00179 	-16.95 	-0.00314 	18.42
1059144 	-168 	77 	0.00717 	0.02 	-0.00193 	25.99
1020662 	-687 	247 	0.00488 	68.78 	-0.00345 	-11.20
